enabled,num_images,subject,character,series,general_tags,natural_language
true,2,1girl,Raiden Shogun,Genshin Impact,"temple courtyard, rain shower, divine","She stands in the center of a moss-covered temple courtyard as a gentle rain falls, her kimono clinging to her like wet silk. Her expression is one of serene, powerful desire."
true,2,1girl,Keqing,Genshin Impact,"high-tech office, desk edge, intense","Leaning over a sleek glass desk in a modern Liyue tower, Keqing looks up at the viewer with an intensely focused, hungry gaze. Her suit jacket is slightly askew."
true,2,1girl,Himeko,Honkai Star Rail,"starship bridge, glowing console, sultry","Against the backdrop of a starship's main bridge, Himeko leans against a glowing console, one hand resting on her hip. She looks utterly sultry, bathed in blue light."
true,2,1girl,Yae Miko,Genshin Impact,"tea house balcony, sunset glow, languid","Lounging on a wooden balcony overlooking Inazuma at sunset, Yae Miko sips tea while looking deeply relaxed and horny. The warm light catches the sheen of her kimono."
true,2,1girl,Trailblazer (Female),Honkai Star Rail,"zero-g chamber, floating, needy","Floating weightlessly in a zero-gravity chamber aboard the Astral Express, the Trailblazer drifts towards the viewer with an expression of desperate need. Her bodysuit is slightly wrinkled from movement."
true,2,1girl,Jean Gunnhildr,Genshin Impact,"windy mountain pass, open field, breathless","Standing on a windswept mountain pass, Jean's uniform flaps around her as she gasps for air. She looks flushed and utterly overwhelmed by the environment and desire."
true,2,1girl,Eula Lawrence,Genshin Impact,"velvet chaise lounge, dramatic shadow, alluring","Draped across a deep red velvet chaise lounge, Eula is half-shrouded in shadow, making her silhouette incredibly seductive. Her gaze seems to pierce right through the darkness."
true,2,1girl,Bronya Rand,Honkai Star Rail,"holographic projection room, leaning forward, teasing","In a futuristic holographic room, Bronya leans over a shimmering display, her short skirt riding up slightly. She winks suggestively at the viewer."
true,2,1girl,Nahida,Genshin Impact,"glowing forest floor, moss bed, confident","Nestled amongst bioluminescent flora on the forest floor, Nahida sits confidently, looking directly out with a vibrant, knowing smile."
true,2,1girl,Welt Yang,Honkai Star Rail,"library reading nook, leather chair, intense","Slumped comfortably in an old leather armchair within a vast library, Welt looks up from a book with an intensely focused, slightly needy expression."
true,2,1girl,Venti,Genshin Impact,"ancient ruins, leaning on pillar, seductive","Leaning against a crumbling stone pillar in ancient ruins, Venti lets his tunic fall open. He gazes at the viewer with a carefree, deeply seductive air."
